param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	1.384549e-4	6	S-species	1.095337e-35	1.613319	2.588122	1
m	FALSE	1.384549e-4	7	S-species	7.654302999999999e-42	1.436066	2.588122	1
m	FALSE	1.384549e-4	8	S-species	8.986498e-7	2.535142	2.588122	1
m	FALSE	1.384549e-4	9	S-species	4.865037e-21	2.132169	2.588122	1
m	FALSE	1.384549e-4	10	S-species	6.220467e-24	2.028718	2.588122	1
m	FALSE	1.45742e-4	1	S-species	0.9999993	2.589791	2.588034	1
m	FALSE	1.45742e-4	2	S-species	2.5433089999999997e-33	1.685576	2.588034	1
m	FALSE	1.45742e-4	3	S-species	3.8772680000000004e-17	2.262087	2.588034	1
m	FALSE	1.45742e-4	4	S-species	2.9855250000000003e-54	1.239161	2.588034	1
m	FALSE	1.45742e-4	5	S-species	1.175848e-24	2	2.588034	1
m	FALSE	1.45742e-4	6	S-species	1.738278e-35	1.613319	2.588034	1
m	FALSE	1.45742e-4	7	S-species	1.361303e-41	1.436066	2.588034	1
m	FALSE	1.45742e-4	8	S-species	7.355318e-7	2.535142	2.588034	1
m	FALSE	1.45742e-4	9	S-species	5.541769e-21	2.132169	2.588034	1
m	FALSE	1.45742e-4	10	S-species	7.573075e-24	2.028718	2.588034	1
m	FALSE	1.534126e-4	1	S-species	0.9999995	2.589791	2.587942	1
m	FALSE	1.534126e-4	2	S-species	2.1645389999999998e-33	1.685576	2.587942	1
m	FALSE	1.534126e-4	3	S-species	2.9972320000000004e-17	2.262087	2.587942	1
m	FALSE	1.534126e-4	4	S-species	6.612879e-54	1.239161	2.587942	1
m	FALSE	1.534126e-4	5	S-species	9.462427e-25	2	2.587942	1
m	FALSE	1.534126e-4	6	S-species	1.493075e-35	1.613319	2.587942	1
m	FALSE	1.534126e-4	7	S-species	1.217743e-41	1.436066	2.587942	1
m	FALSE	1.534126e-4	8	S-species	5.280789e-7	2.535142	2.587942	1
m	FALSE	1.534126e-4	9	S-species	4.365506e-21	2.132169	2.587942	1
m	FALSE	1.534126e-4	10	S-species	6.0666679999999995e-24	2.028718	2.587942	1
m	FALSE	1.614869e-4	1	S-species	0.9999994	2.589791	2.587845	1
m	FALSE	1.614869e-4	2	S-species	3.118377e-34	1.685576	2.587845	1
m	FALSE	1.614869e-4	3	S-species	1.476206e-17	2.262087	2.587845	1
m	FALSE	1.614869e-4	4	S-species	1.563673e-55	1.239161	2.587845	1
m	FALSE	1.614869e-4	5	S-species	2.560329e-25	2	2.587845	1
m	FALSE	1.614869e-4	6	S-species	1.846292e-36	1.613319	2.587845	1
m	FALSE	1.614869e-4	7	S-species	1.019171e-42	1.436066	2.587845	1
m	FALSE	1.614869e-4	8	S-species	6.401988e-7	2.535142	2.587845	1
m	FALSE	1.614869e-4	9	S-species	1.577397e-21	2.132169	2.587845	1
m	FALSE	1.614869e-4	10	S-species	1.743855e-24	2.028718	2.587845	1
m	FALSE	1.699862e-4	1	S-species	0.9999994	2.589791	2.587742	1
m	FALSE	1.699862e-4	2	S-species	2.6272459999999997e-34	1.685576	2.587742	1
m	FALSE	1.699862e-4	3	S-species	1.288007e-17	2.262087	2.587742	1
m	FALSE	1.699862e-4	4	S-species	1.913214e-55	1.239161	2.587742	1
m	FALSE	1.699862e-4	5	S-species	2.202485e-25	2	2.587742	1
m	FALSE	1.699862e-4	6	S-species	1.5567259999999998e-36	1.613319	2.587742	1
m	FALSE	1.699862e-4	7	S-species	8.375509e-43	1.436066	2.587742	1
m	FALSE	1.699862e-4	8	S-species	5.617313e-7	2.535142	2.587742	1
m	FALSE	1.699862e-4	9	S-species	1.36612e-21	2.132169	2.587742	1
m	FALSE	1.699862e-4	10	S-species	1.5036059999999999e-24	2.028718	2.587742	1
m	FALSE	1.789329e-4	1	S-species	0.9999995	2.589791	2.587635	1
m	FALSE	1.789329e-4	2	S-species	1.885819e-34	1.685576	2.587635	1
m	FALSE	1.789329e-4	3	S-species	1.0088980000000001e-17	2.262087	2.587635	1
